"","player_name","Pos.","Age","Bats","Throws","From","To","exp_salary_char","exp_salary"
"39","Kevin Kiermaier","CF","32.5","L","R","TB","TBD","$6,624,958",6624958
"40","Chris Bassitt","SP","33.7","R","R","NYM","TBD","$21,040,210",21040210
"41","Carlos Santana","1B","36.6","S","R","SEA","TBD","$10,478,480",10478480
"42","Andrew Benintendi","LF","28.3","L","L","NYY","TBD","$17,397,505",17397505
"43","Andrew Heaney","SP","31.4","L","L","LAD","TBD","$11,639,459",11639459
"44","Andrew McCutchen","DH","36.1","R","R","MIL","TBD","$7,629,875",7629875
"45","Corey Kluber","SP","36.6","R","R","TB","TBD","$9,786,684",9786684
"46","Tyler Anderson","SP","32.8","L","L","LAD","TBD","$13,642,924",13642924
"47","Will Harris","RP","38.2","R","R","WSH","TBD","$2,000,000",2e+06
"48","Adam Frazier","2B","30.8","L","R","SEA","TBD","$10,017,700",10017700
"49","Trevor May","RP","33.1","R","R","NYM","TBD","$2,000,000",2e+06
"50","Mitch Haniger","RF","31.8","R","R","SEA","TBD","$15,012,727",15012727
"51","Trey Mancini","1B","30.6","R","R","HOU","TBD","$18,117,905",18117905
"52","Taijuan Walker","SP","30.2","R","R","NYM","TBD","$13,953,086",13953086
"53","Wade Miley","SP","35.9","L","L","CHC","TBD","$2,000,000",2e+06
"54","Tommy Pham","LF","34.7","R","R","BOS","TBD","$8,353,833",8353833
"55","David Peralta","LF","35.2","L","L","TB","TBD","$8,307,233",8307233
"56","Taylor Rogers","RP","31.8","L","L","MIL","TBD","$13,142,114",13142114
"57","Yulieski Gurriel","1B","38.4","R","R","HOU","TBD","$11,693,270",11693270
"58","Jurickson Profar","LF","29.7",NA,"R","SD","TBD","$14,909,248",14909248
"59","Michael Wacha","SP","31.3","R","R","BOS","TBD","$11,985,930",11985930
"60","Brandon Nimmo","CF","29.6","L","R","NYM","TBD","$21,199,909",21199909
"61","Jordan Lyles","SP","32.0","R","R","BAL","TBD","$17,273,737",17273737
"62","Michael Lorenzen","SP","30.8","R","R","LAA","TBD","$9,545,387",9545387
"63","Andrew Chafin","RP","32.3","R","L","DET","TBD","$2,000,000",2e+06
"64","Nick Martinez","SP","32.2","L","R","SD","TBD","$2,000,000",2e+06
"65","Joc Pederson","LF","30.5","L","L","SF","TBD","$14,684,536",14684536
"66","Brad Hand","RP","32.6","L","L","PHI","TBD","$2,000,000",2e+06
"67","Jameson Taillon","SP","30.9","R","R","NYY","TBD","$14,596,995",14596995
"68","Mike Clevinger","SP","31.8","R","R","SD","TBD","$10,382,643",10382643
"69","Zach Eflin","SP","28.6","R","R","PHI","TBD","$13,786,511",13786511
"70","Josh Harrison","2B","35.3","R","R","CHW","TBD","$3,500,696",3500696
"71","Drew Smyly","SP","33.3","L","L","CHC","TBD","$14,527,815",14527815
"72","Kole Calhoun","RF","35.0","L","L","TEX","TBD","$2,000,000",2e+06
"73","Matt Boyd","SP","31.8","L","L","SEA","TBD","$2,000,000",2e+06
"74","Rich Hill","SP","42.6","L","L","BOS","TBD","$2,000,000",2e+06
"75","Roberto Perez","C","33.8","R","R","PIT","TBD","$2,958,417",2958417
"76","Jose Iglesias","SS","32.8","R","R","COL","TBD","$5,058,792",5058792
"77","Omar Narvaez","C","30.8","L","R","MIL","TBD","$3,145,512",3145512
"78","Robbie Grossman","RF","33.1",NA,"L","ATL","TBD","$7,044,609",7044609
"79","Corey Dickerson","LF","33.4","L","R","STL","TBD","$2,000,000",2e+06
"80","Dylan Bundy","SP","29.9",NA,"R","MIN","TBD","$12,361,823",12361823
"81","Mychal Givens","RP","32.4","R","R","NYM","TBD","$2,000,000",2e+06
"82","Michael Fulmer","RP","29.6","R","R","MIN","TBD","$2,000,000",2e+06
"83","Ian Kennedy","RP","37.8","R","R","ARI","TBD","$2,000,000",2e+06
"84","Donovan Solano","2B","34.8","R","R","CIN","TBD","$5,778,406",5778406
"85","Trevor Rosenthal","RP","32.4","R","R","MIL","TBD","$2,000,000",2e+06
"86","Craig Stammen","RP","38.7","R","R","SD","TBD","$2,000,000",2e+06
"87","Christian Vazquez","C","32.2","R","R","HOU","TBD","$6,730,990",6730990
"88","Aledmys Diaz","SS","32.2","R","R","HOU","TBD","$4,608,517",4608517
"89","Scott Oberg","RP","32.6","R","R","COL","TBD","$2,000,000",2e+06
"90","Johnny Cueto","SP","36.7","R","R","CHW","TBD","$14,700,083",14700083
"91","Alex Colome","RP","33.8","R","R","COL","TBD","$2,000,000",2e+06
"92","Tyler Naquin","LF","31.5","L","R","NYM","TBD","$2,000,000",2e+06
"93","Tucker Barnhart","C","31.8","L","R","DET","TBD","$2,000,000",2e+06
"94","Adam Ottavino","RP","36.9",NA,"R","NYM","TBD","$4,884,082",4884082
"95","Cesar Hernandez","2B","32.4",NA,"R","WSH","TBD","$4,589,740",4589740
"96","Martin Perez","SP","31.6","L","L","TEX","TBD","$17,921,941",17921941
"97","Austin Hedges","C","30.2","R","R","CLE","TBD","$2,000,000",2e+06
"98","Chad Green","RP","31.4","L","R","NYY","TBD","$2,000,000",2e+06
"99","Seth Lugo","RP","32.9","R","R","NYM","TBD","$7,273,839",7273839
"100","Trevor Williams","RP","30.5","R","R","NYM","TBD","$2,000,000",2e+06
"101","Ross Stripling","SP","32.9","R","R","TOR","TBD","$17,576,905",17576905
"102","Archie Bradley","RP","30.2","R","R","LAA","TBD","$2,000,000",2e+06
"103","Luke Jackson","RP","31.2","R","R","ATL","TBD","$2,000,000",2e+06
"104","David Robertson","RP","37.6","R","R","PHI","TBD","$8,969,540",8969540
"105","Jason Castro","C","35.3","L","R","HOU","TBD","$2,000,000",2e+06
"106","Chris Archer","SP","34.1","R","R","TB","TBD","$2,000,000",2e+06
"107","Kohei Arihara","SP","30.2","R","R","TEX","TBD","$2,000,000",2e+06
"108","Josh Lindblom","SP","35.3","R","R","MIL","TBD","$2,000,000",2e+06
"109","Carlos Estevez","RP","29.8","R","R","COL","TBD","$2,000,000",2e+06
"110","Mike Zunino","C","31.6","R","R","TB","TBD","$9,645,521",9645521
"111","Chad Kuhl","SP","30.2","R","R","COL","TBD","$9,410,263",9410263
"112","Danny Duffy","SP","33.8","L","L","LAD","TBD","$2,000,000",2e+06
"113","Matthew Strahm","RP","30.9","R","L","BOS","TBD","$2,000,000",2e+06
"114","Vincent Velasquez","SP","30.4","R","R","CHW","TBD","$2,000,000",2e+06
"115","Bryan Shaw","RP","35.0",NA,"R","CLE","TBD","$2,000,000",2e+06
"116","Rafael Montero","RP","32.0","R","R","HOU","TBD","$8,190,360",8190360
"117","Chad Pinder","LF","30.6","R","R","OAK","TBD","$2,000,000",2e+06
"118","Tommy Kahnle","RP","33.2","R","R","LAD","TBD","$2,000,000",2e+06
"119","Miguel Castro","RP","27.8","R","R","NYY","TBD","$2,000,000",2e+06
"120","Curt Casali","C","34.0","R","R","SEA","TBD","$4,891,195",4891195
"121","Justin Wilson","RP","35.2","L","L","CIN","TBD","$2,000,000",2e+06
"122","Pierce Johnson","RP","31.5","R","R","SD","TBD","$2,000,000",2e+06
"123","Joely Rodriguez","RP","30.9","L","L","NYM","TBD","$2,000,000",2e+06
"124","Kevin Pillar","CF","33.8","R","R","LAD","TBD","$2,000,000",2e+06
"125","Matt Moore","RP","33.3","L","L","TEX","TBD","$3,389,399",3389399
"126","Brad Boxberger","RP","34.4","R","R","MIL","TBD","$2,000,000",2e+06
"127","Joe Ross","SP","29.4","R","R","WSH","TBD","$2,000,000",2e+06
"128","Mike Mayers","RP","30.9","R","R","LAA","TBD","$2,000,000",2e+06
"129","Jose Quintana","SP","33.8","R","L","STL","TBD","$14,209,874",14209874
"130","Anibal Sanchez","SP","38.7","R","R","WSH","TBD","$2,000,000",2e+06
"131","Matt Carpenter","3B","36.9","L","R","NYY","TBD","$2,000,000",2e+06
"132","Hunter Strickland","RP","34.1","R","R","CIN","TBD","$2,000,000",2e+06
"133","Jace Peterson","3B","32.5","L","R","MIL","TBD","$6,517,690",6517690
"134","Ben Gamel","RF","30.4","L","L","PIT","TBD","$2,220,565",2220565
"135","Steve Cishek","RP","36.3","R","R","WSH","TBD","$2,000,000",2e+06
"136","Charlie Culberson","3B","33.6","R","R","TEX","TBD","$2,000,000",2e+06
"137","Kurt Suzuki","C","39.1","R","R","LAA","TBD","$2,000,000",2e+06
"138","Zach Davies","SP","29.8","R","R","ARI","TBD","$6,456,838",6456838
"139","Hanser Alberto","2B","30.0","R","R","LAD","TBD","$2,696,796",2696796
"140","Ehire Adrianza","SS","33.2",NA,"R","ATL","TBD","$2,000,000",2e+06
"141","Matt Duffy","3B","31.8","R","R","LAA","TBD","$2,000,000",2e+06
"142","Hirokazu Sawamura","RP","34.6","R","R","BOS","TBD","$2,000,000",2e+06
