Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Narciso Crook,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.301,0.414,0.715,0.312,98,,0,0,,0,0,0,,999,17473
Jerar Encarnacion,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.232,0.29,0.4,0.69,0.301,95,,0,0,,0,0,0,,999,21871
Jack Larsen,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.223,0.303,0.364,0.667,0.295,96,,0,0,,0,0,0,,999,20510
Bryce Johnson,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.225,0.3,0.329,0.629,0.281,81,,0,0,,0,0,0,,999,20002
Dillon Thomas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.221,0.303,0.362,0.666,0.296,91,,0,0,,0,0,0,,999,12719
Albert Almora Jr.,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.242,0.292,0.363,0.654,0.288,85,,0,0,,0,0,0,,999,14109
Mickey McDonald,OAK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.304,0.301,0.606,0.275,82,,0,0,,0,0,0,,999,20533
Anthony Alford,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.213,0.293,0.375,0.667,0.294,89,,0,0,,0,0,0,,999,14329
Austin Dean,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.304,0.396,0.7,0.305,97,,0,0,,0,0,0,,999,18288
Luis Barrera,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.298,0.362,0.66,0.291,87,,0,0,,0,0,0,,999,19615
Marcus Wilson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.199,0.294,0.362,0.656,0.292,88,,0,0,,0,0,0,,999,17910
Greg Allen,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.225,0.301,0.334,0.636,0.285,83,,0,0,,0,0,0,,999,16623
Aristides Aquino,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.201,0.274,0.379,0.653,0.286,84,,0,0,,0,0,0,,999,15482
Travis Demeritte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.212,0.286,0.387,0.673,0.295,90,,0,0,,0,0,0,,999,15958
Billy McKinney,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.208,0.287,0.37,0.657,0.288,85,,0,0,,0,0,0,,999,15654
Jaylin Davis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.21,0.288,0.363,0.651,0.288,85,,0,0,,0,0,0,,999,19552
Ryan Aguilar,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.2,0.303,0.348,0.651,0.293,88,,0,0,,0,0,0,,999,19967
Matt Beaty,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.306,0.362,0.668,0.296,91,,0,0,,0,0,0,,999,17710
