Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Danny Mendick,,68,271,243,57,11,1,6,29,26,21,59,3,4,1,,0.234,0.301,0.359,0.66,0.293,88,,0,-0.2,,-3.6,1.6,0.7,,999,18889
Geraldo Perdomo,ARI,57,218,190,43,8,2,3,22,19,22,44,2,4,1,,0.228,0.315,0.334,0.649,0.292,85,,0.3,0.1,,-3.5,2.7,0.7,,999,22799
Edmundo Sosa,PHI,57,226,207,50,9,2,5,24,24,10,51,6,4,2,,0.242,0.293,0.381,0.673,0.295,87,,0.1,1,,-3.2,2.1,0.7,,999,17022
Alan Trejo,COL,57,222,206,52,12,1,8,26,28,10,49,2,3,1,,0.253,0.293,0.436,0.729,0.314,87,,-0.1,-0.4,,-3.4,1.8,0.6,,999,20056
Jacob Amaya,LAD,42,171,150,34,6,1,5,19,18,17,38,1,1,0,,0.225,0.307,0.367,0.674,0.299,94,,-0.1,0,,-1.4,1.5,0.6,,999,sa3005081
Didi Gregorius,,49,198,181,43,8,2,5,20,21,11,31,3,1,1,,0.237,0.289,0.381,0.67,0.293,89,,0,-1.3,,-2.6,1.1,0.5,,999,6012
Andrelton Simmons,,66,255,233,55,10,1,3,24,22,16,41,2,4,1,,0.238,0.292,0.319,0.611,0.273,75,,0,0.5,,-7.4,3.4,0.5,,999,10847
Zack Short,DET,40,162,139,28,7,0,4,16,15,19,46,2,2,1,,0.201,0.302,0.337,0.64,0.287,87,,-0.1,0.4,,-2.5,1.5,0.4,,999,19562
Tyler Freeman,CLE,23,92,83,23,5,0,1,10,9,5,11,2,1,0,,0.273,0.332,0.386,0.718,0.317,107,,-0.1,-0.2,,0.6,0.3,0.4,,999,22532
Otto Lopez,TOR,21,88,79,21,4,1,1,10,9,7,15,1,2,1,,0.264,0.328,0.375,0.703,0.31,102,,0,0.2,,0.2,0.6,0.4,,999,19608
Willi Castro,,52,214,198,49,10,1,5,23,22,11,48,3,5,2,,0.248,0.295,0.384,0.679,0.297,91,,0.2,-0.9,,-1.9,-1.7,0.4,,999,17338
Blaze Alexander,ARI,24,99,89,21,4,1,3,11,11,7,27,1,1,1,,0.237,0.3,0.397,0.697,0.305,94,,0,0,,-0.7,0.7,0.4,,999,sa3007742
Johan Camargo,MIN,24,95,86,21,4,0,2,10,10,8,19,1,0,0,,0.244,0.309,0.385,0.695,0.305,97,,-0.1,-0.4,,-0.4,0.2,0.3,,999,14950
