playerid,Name,Team,POS,G,PA,IP,WAR
19531,Jason Foley,DET,RP,64,0,64,0.1
20185,Zach Pop,TOR,RP,57,0,57,0.1
sa3009999,Kevin Kelly,TBR,RP,52,0,52,0.1
7608,Tommy Milone,NA,SP,8,0,45,0.1
13767,JT Chargois,MIA,RP,61,0,61,0.1
20387,Anthony Kay,TOR,RP,15,0,30,0.1
17169,José Castillo,SDP,RP,46,0,46,0.1
23488,Ron Marinaccio,NYY,RP,55,0,55,0.1
sa3008310,J.P. France,HOU,RP,34,0,41,0.1
10314,Erasmo Ramirez,NA,RP,50,0,50,0.1
sa3014536,Clayton Beeter,NYY,RP,20,0,20,0.1
23313,Jose Butto,NYM,RP,10,0,17,0.1
sa3011411,Chris Clarke,SEA,RP,34,0,34,0.1
25636,Hunter Gaddis,CLE,RP,41,0,63,0.1
21955,Yerry Rodriguez,TEX,RP,40,0,40,0.1
19574,JoJo Romero,STL,RP,28,0,28,0.1
21997,Luis Frías,ARI,RP,32,0,32,0.1
21461,Cole Sands,MIN,RP,44,0,51,0.1
20349,Zack Kelly,BOS,RP,34,0,34,0.1
21052,Luis Gil,NYY,RP,14,0,14,0.1
17888,Tayler Saucedo,NYM,RP,34,0,34,0.1
sa1053035,Josh Simpson,MIA,RP,32,0,32,0.1
19482,Andrew Vasquez,PHI,RP,44,0,44,0.1
20418,Josh Fleming,TBR,SP,3,0,18,0.1
14416,Yunior Marte,SFG,RP,56,0,56,0.1
sa3017130,Griff McGarry,PHI,RP,22,0,29,0.1
11490,Aaron Sanchez,NA,RP,33,0,83,0.1
sa3010256,Avery Weems,TEX,RP,20,0,20,0.1
23292,Packy Naughton,STL,RP,36,0,36,0.1
14332,Joel Payamps,OAK,RP,48,0,48,0.1
7882,Josh Lindblom,NA,SP,11,0,64,0.1
18694,Kolby Allard,ATL,RP,26,0,26,0.1
16647,Ryan Thompson,TBR,RP,54,0,54,0.1
sa3008526,Tristan Beck,SFG,RP,17,0,32,0.1
15690,Jimmy Cordero,NYY,RP,24,0,24,0.1
15369,Kevin Herget,CIN,RP,24,0,24,0.1
7048,Fernando Cruz,CIN,RP,48,0,48,0.1
20080,Mauricio Llovera,SFG,RP,38,0,38,0.1
